1,MBA,มาบข่า,Map Kha,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. ระยอง ,กฟก.2, อนุมัติจ่ายไฟ วันที่ 18 พ.ค. 2547 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
2,BHA,เขื่อนภูมิพล,Phumiphon Dam,ถาวร ,22kV,-,Without NGR,จ. ตาก ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 17 พ.ย. 2507 ,-,KT3A ขนาด 12.5 MVA
3,SVA,เขื่อนศรีนครินทร์ ,Si Nakharin Dam,ชั่วคราว (Mobile Substation) ,22kV,-,Without NGR,จ. กาญจนบุรี ,กฟก.3, อนุมัติจ่ายไฟ วันที่ 1 พ.ค. 2521 ,-,KT1A ขนาด 25 MVA
4,TMA,ท่าม่วง 1,Tha Muang 1,ถาวร ,22kV,-,Without NGR,จ. กาญจนบุรี ,กฟก.3, อนุมัติจ่ายไฟ วันที่ 5 มี.ค. 2522 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 40 MVA,TP1 ขนาด 40 MVA,TP2 ขนาด 40 MVA
5,UBA,อุบลราชธานี 1,Ubon Ratchathani 1,ถาวร ,22kV,-,Without NGR,จ. อุบลราชธานี ,กฟฉ.2, อนุมัติจ่ายไฟ วันที่ 30 พ.ค. 2523 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
6,UDB,อุดรธานี 2,Udon Thani 2,ถาวร ,22kV,-,Without NGR,จ. อุดรธานี ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 3 มิ.ย. 2523 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
7,PIA,พิจิตร,Phichit,ถาวร ,22kV,-,Without NGR,จ. พิจิตร ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 1 ก.ค. 2523 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA,KT3A ขนาด 25 MVA
8,BIA,บางปะอิน 1,Bang Pa-In 1,ถาวร ,22kV,-,Without NGR,จ. พระนครศรีอยุธยา ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 18 ก.พ. 2524 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
9,LNA,ลำพูน 1,Lamphun 1,ถาวร ,22kV,-,Without NGR,จ. ลำพูน ,กฟน.1, อนุมัติจ่ายไฟ วันที่ 18 มี.ค. 2524 ,-,KT1A ขนาด 50 MVA
10,KPA,กำแพงเพชร 1,Kamphaeng Phet 1,ถาวร ,22kV,-,Without NGR,จ. กำแพงเพชร ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 25 พ.ค. 2524 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
11,PYA,พะเยา 1,Phayao 1,ถาวร ,22kV,-,Without NGR,จ. พะเยา ,กฟน.1, อนุมัติจ่ายไฟ วันที่ 17 ต.ค. 2551 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
12,BAA,บางลาง,Bang Lang,ชั่วคราว (รับไฟจากเขื่อนผ่าน recloser) ,33kV,-,Without NGR,จ. ยะลา ,กฟต.3, อนุมัติจ่ายไฟ วันที่ 27 ก.ย. 2524 ,-,KT1A ขนาด 6.5 MVA,KT2A ขนาด 6.5 MVA
